n,tweet_id,category,original,picked_translation,picked_system,indictrans2_text,chatgpt_text
15,931368475443916802,Benign / likely fine,Traffic Alert कालिंदी कुंज से नोएडा जाने वाले मार्ग में एक ट्रक ख़राब है जिसके कारण ट्रैफिक बाधित है!,"Traffic Alert: On the route from Kalindi Kunj to Noida, a truck has broken down, causing traffic to be obstructed.",chatgpt,Traffic Alert A truck en route from Kalindi Kunj to Noida is defective due to which traffic is disrupted!,"Traffic Alert: On the route from Kalindi Kunj to Noida, a truck has broken down, causing traffic to be obstructed."
16,581699642330628096,Benign / likely fine,Traffic Alert वजीरपुर डिपो के पास यातायात सामान्य गति से चल रहा है |,Traffic Alert: Traffic near Wazirpur Depot is moving at normal speed.,chatgpt,Traffic Alert Traffic is moving at normal speed near Wazirpur Depot.,Traffic Alert: Traffic near Wazirpur Depot is moving at normal speed.
17,786135796000534528,Severe spatial discrepancy,part1/3....Traffic Alert 1. मोती नगर से इंद्र लोक जाने वाले मार्ग को ताजिये की वजह से बंद किया गया है I इंद्र लोक जाने वाले वाहन,Part 1/3. Traffic Alert: 1. The route from Moti Nagar to Inderlok has been closed because of the tazias. Vehicles going to Inderlok... The record is incomplete.,chatgpt,Traffic Alert 1. The road from Moti Nagar to Indra Lok has been closed due to Tajiya.,Part 1/3. Traffic Alert: 1. The route from Moti Nagar to Inderlok has been closed because of the tazias. Vehicles going to Inderlok... The record is incomplete.
18,955019363303661568,Possible spatial-relation change,Traffic Alert आश्रम से ITO जाने वाले मार्ग में निजामुद्दीन खत्ता के पास NHAI व दिल्ली मेट्रो का काम चल रहा है जिसके कारण यातायात ज्यादा है|,"Traffic Alert: On the route from Ashram to ITO, NHAI and Delhi Metro work is underway near Nizamuddin Khatta, causing heavy traffic.",chatgpt,"Traffic Alert The NHAI and Delhi Metro work is going on near Nizamuddin Khatta on the route from Ashram to ITO, due to which traffic is high.","Traffic Alert: On the route from Ashram to ITO, NHAI and Delhi Metro work is underway near Nizamuddin Khatta, causing heavy traffic."
19,870193728551440384,Possible spatial-relation change,Traffic Alert १/२ धौला कुआँ से हयात जाने वाले मार्ग में हयात के पास जमीन धंस गई हैं| पी.डब्ल्यू.डी.वाले मरम्मत कार्य कर रहें हैं...,"Traffic Alert 1/2: On the route from Dhaula Kuan to Hyatt, the ground has subsided near Hyatt. PWD personnel are carrying out repair work... The record is incomplete.",chatgpt,Traffic Alert 1 / 2: Dhaula Kuan to Hayat road near Hayat caved in. पी.डब्ल्यू.डी.वाले Repair work underway...,"Traffic Alert 1/2: On the route from Dhaula Kuan to Hyatt, the ground has subsided near Hyatt. PWD personnel are carrying out repair work... The record is incomplete."
20,875560829256581120,Possible spatial-relation change,PART1/2..Traffic Alert RTR मार्ग पर सड़क निर्माण का कार्य होने की वजह से आउटर रिंग रोड से गुड़गांव जाने,"Part 1/2. Traffic Alert: Because road-construction work is underway on RTR Marg, traffic going from Outer Ring Road to Gurgaon... The message is incomplete.",chatgpt,"PART 1 / 2. Traffic Alert Due to road construction work on RTR route, Outer Ring Road to Gurgaon","Part 1/2. Traffic Alert: Because road-construction work is underway on RTR Marg, traffic going from Outer Ring Road to Gurgaon... The message is incomplete."
21,928839054090690560,Possible spatial-relation change,Traffic Alert आश्रम से लाजपत नगर फ्लाईओवर के बिच में डीज़ल बिखरा हुआ है गाड़िया स्लिप हो रही है कृपया इस मार्ग से बचे.,Traffic Alert: Diesel is spilled between Ashram and Lajpat Nagar Flyover; vehicles are slipping. Please avoid this route.,chatgpt,"Traffic Alert: Diesel is scattered between Ashram to Lajpat Nagar flyover, vehicles are slipping, please avoid this route.",Traffic Alert: Diesel is spilled between Ashram and Lajpat Nagar Flyover; vehicles are slipping. Please avoid this route.
22,869062458270302208,Possible toponym change,"Traffic Alert १/२ हमदर्द से डी.डी.ए.कालकाजी की तरफ जाने वाले मार्ग पर तारा अपार्टमेंट की रेड लाइट के पास, पेड़ पर हाई टेंशन तार गिरने की...","Traffic Alert 1/2: On the route from Hamdard toward D.D.A. Kalkaji, near the Tara Apartment traffic light, a high-tension wire has fallen onto a tree... The message is incomplete.",chatgpt,"Traffic Alert 1 / 2 Near the red light of Tara Apartment on the road from Hamdard to डी.डी.ए.कालकाजी, high tension wire fell on the tree.","Traffic Alert 1/2: On the route from Hamdard toward D.D.A. Kalkaji, near the Tara Apartment traffic light, a high-tension wire has fallen onto a tree... The message is incomplete."
23,1095030100167483394,Possible toponym change,Traffic Alert मायापुरी मेट्रो स्टेशन से धौला कुआँ जाने वाले मार्ग में जो High Mast Lighting Pole गिर गया थाI उसे हटा दिया गया है I,"Traffic Alert: On the route from Mayapuri Metro Station to Dhaula Kuan, the High Mast Lighting Pole that had fallen has been removed.",chatgpt,Traffic Alert A high mast lighting pole that had collapsed on the route from Mayapuri Metro Station to Dhaula Kuan has been removed.,"Traffic Alert: On the route from Mayapuri Metro Station to Dhaula Kuan, the High Mast Lighting Pole that had fallen has been removed."
24,1025995436711075841,Unresolved (needs review),Traffic Alert संसद मार्ग (पटेल चौक से जंतर मंतर) धरना प्रदर्शन के कारण बंद कर दिया गया है|,"Traffic Alert: Sansad Marg, from Patel Chowk to Jantar Mantar, has been closed because of a protest.",chatgpt,Traffic Alert Parliament Street (Patel Chowk to Jantar Mantar) has been closed due to sit-in protest.,"Traffic Alert: Sansad Marg, from Patel Chowk to Jantar Mantar, has been closed because of a protest."
25,590746754104057856,Severe spatial discrepancy,"Traffic Alert जसोला रोड से साइन बाग रोड न. 13 के दोनों मार्गों को आम पब्लिक ने जाम कर दिया है, असुविधा के लिए खेद है |",Traffic Alert: The public has blocked both routes from Jasola Road to Shaheen Bagh Road No. 13. Regret the inconvenience.,chatgpt,"Traffic Alert Both carriageways of Jasola Road to Sain Bagh Road No. 13 have been blocked by the general public, sorry for the inconvenience.",Traffic Alert: The public has blocked both routes from Jasola Road to Shaheen Bagh Road No. 13. Regret the inconvenience.
