dataset_row,source_row_key,tweet_id,dataset_id_raw,tweet_url,language_recorded,original_has_devanagari,text_original,text_translated,text_for_current_parser,audit_class,possible_spatial_meaning_change,possible_toponym_change,possible_spatial_relation_change,severe_inspected,requires_manual_inspection,review_level,review_note,discrepancy_tags,known_original_toponyms,latin_dictionary_mentions_original,latin_dictionary_mentions_parser,unmatched_original_toponyms,possible_mention_count_loss,relation_flags,existing_address,existing_locations,existing_lat,existing_lon,existing_confidence
12,35,548301339470491649,5.48E+17,https://twitter.com/dtptraffic/status/548301339470491649,en,False,Traffic Alert Breakdown container no. HR66B 0285 has been removed from Sarai Kale Khan flyover.,Breakdown container no. HR66B 0285 has been removed from Sarai Kale Khan flyover.,Breakdown container no. HR66B 0285 has been removed from Sarai Kale Khan flyover.,BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,automated_screen,,,[],"[""Sarai Kale Khan"", ""flyover""]","[""Sarai Kale Khan"", ""flyover""]",,,,"Delhi Sarai Rohilla, New Rohtak Road, Jhandewalan, Delhi, Central Delhi, Delhi, 110005, India","Sarai,  Sarai Kale,  Sarai Kale Khan,  Kale,  Kale Khan,  Khan",28.6627515,77.1852561,7
13,38,548301072427925504,5.48E+17,https://twitter.com/dtptraffic/status/548301072427925504,en,False,Traffic Alert Breakdown truck no. HR39B 9698 has been removed from Punjabi Bagh Club.,Breakdown truck no. HR39B 9698 has been removed from Punjabi Bagh Club.,Breakdown truck no. HR39B 9698 has been removed from Punjabi Bagh Club.,BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,automated_screen,,,[],"[""Punjabi Bagh Club""]","[""Punjabi Bagh Club""]",,,,"Punjabi Bagh, West Delhi, Delhi, India","Punjabi,  Punjabi Bagh,  Punjabi Bagh Club,  Bagh,  Bagh Club,  Club",28.668945,77.1324614,7
14,46,547730864256589826,5.48E+17,https://twitter.com/dtptraffic/status/547730864256589826,hi,True,Traffic Alert पटेल चौक से जी. पी. ओ. (अशोक रोड़) की तरफ जाने वाला मार्ग यातायात के लिए सामान्य है|,Got from Patel Chowk P.O. The road going towards Ashoka Road is normal for traffic.,Got from Patel Chowk P.O. The road going towards Ashoka Road is normal for traffic.,SEVERE_SPATIAL_DISCREPANCY,True,True,True,True,True,severe,GPO fragmented to Got/P.O.; Ashoka Road relation restructured.,TOPONYM_TRANSFORMATION;RELATION_CHANGE,"[{""canonical"": ""Patel Chowk"", ""surface"": ""पटेल चौक""}, {""canonical"": ""GPO"", ""surface"": ""जी. पी. ओ""}, {""canonical"": ""Ashoka Road"", ""surface"": ""अशोक रोड""}]",[],"[""Patel Chowk"", ""Ashoka Road""]",GPO,,,"West Patel Nagar, West Delhi, Delhi, India","Patel,  Patel Chowk,  Patel Chowk PO,  Chowk,  Chowk PO,  PO,  Ashok",28.6519279,77.162923,7
15,56,547326169830670337,5.47E+17,https://twitter.com/dtptraffic/status/547326169830670337,en,False,Traffic Alert A break down tampo has been removed from Punjabi Bagh Flyover.,A break down tampo has been removed from Punjabi Bagh Flyover.,A break down tampo has been removed from Punjabi Bagh Flyover.,BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,automated_screen,,,[],"[""Punjabi Bagh"", ""Flyover""]","[""Punjabi Bagh"", ""Flyover""]",,,,"Punjabi Bagh, West Delhi, Delhi, India","A,  Punjabi,  Punjabi Bagh,  Bagh,  Bagh Flyover,  Flyover",28.668945,77.1324614,7
16,61,547296604232110081,5.47E+17,https://twitter.com/dtptraffic/status/547296604232110081,en,False,Traffic Alert Sansad Marg has been closed due to demonstration. Kindly avoid this route. Inconvenience regretted.,Sansad Marg has been closed due to demonstration. Kindly avoid this route. Inconvenience regretted.,Sansad Marg has been closed due to demonstration. Kindly avoid this route. Inconvenience regretted.,BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,automated_screen,,,[],"[""Sansad Marg""]","[""Sansad Marg""]",,,,"Sansad Bhavan, Lok Sabha Marg, Raisina Hill, New Delhi, Delhi, 110004, India","Sansad,  Sansad Marg,  Marg",28.6171875,77.2078082,9
17,68,547019854730231809,5.47E+17,https://twitter.com/dtptraffic/status/547019854730231809,hi,True,"Traffic Alert अशोका रोड, फिरोजशाह रोड और कनाट प्लेस पर यातायात ज्यादा है I","There is more traffic on Ashoka Road, Ferozeshah Road and Connaught Place.","There is more traffic on Ashoka Road, Ferozeshah Road and Connaught Place.",BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,equivalent,"Ashoka Road, Ferozeshah Road, Connaught Place retained.",BILINGUAL_EQUIVALENT,"[{""canonical"": ""Ashoka Road"", ""surface"": ""अशोका रोड""}, {""canonical"": ""Feroz Shah Road"", ""surface"": ""फिरोजशाह रोड""}, {""canonical"": ""Connaught Place"", ""surface"": ""कनाट प्लेस""}]",[],"[""Ashoka Road"", ""Connaught Place""]",,,,"Ashoka Road, Connaught Place, New Delhi, Delhi, 110001, India","Ashoka,  Ashoka Road,  Connaught,  Connaught Place",28.6202941,77.2180619,9
18,70,547019677063708672,5.47E+17,https://twitter.com/dtptraffic/status/547019677063708672,hi,True,Traffic Alert न्यू दिल्ली से मूलचंद की तरफ जाने वाले मार्ग में लाला लाजपत राय मार्ग पर यातायात ज्यादा हो गया है I असुविधा के लिए खेद है I,The traffic on Lala Lajpat Rai route from New Delhi to Moolchand has increased much. I am sorry for the inconvenience.,The traffic on Lala Lajpat Rai route from New Delhi to Moolchand has increased much. I am sorry for the inconvenience.,BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,equivalent,New Delhi to Moolchand along Lala Lajpat Rai Marg retained semantically.,BILINGUAL_EQUIVALENT,"[{""canonical"": ""Moolchand"", ""surface"": ""मूलचंद""}, {""canonical"": ""Lala Lajpat Rai Marg"", ""surface"": ""लाला लाजपत राय मार्ग""}]",[],"[""Lala Lajpat Rai"", ""New Delhi"", ""Moolchand""]",,,,"Lala Lajpat Rai Bhawan, Lajpat Nagar IV, South East Delhi, Delhi, India","Lala,  Lala Lajpat,  Lala Lajpat Rai,  Lajpat,  Lajpat Rai,  Rai,  New,  New Delhi,  Delhi",28.5627433,77.23540396,10
19,73,547003887660855296,5.47E+17,https://twitter.com/dtptraffic/status/547003887660855296,en,False,"Traffic Alert Traffic is heavy on Simon Boliver Marg,Upper Ridge Road because a car had caught fire. Inconvenience regretted.","Traffic is heavy on Simon Boliver Marg,Upper Ridge Road because a car had caught fire. Inconvenience regretted.","Traffic is heavy on Simon Boliver Marg,Upper Ridge Road because a car had caught fire. Inconvenience regretted.",BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,automated_screen,,,[],[],[],,,,"New Delhi, Bhavbhuti Marg, Paharganj, Delhi, Central Delhi, Delhi, 110055, India","Simon,  Marg,  Upper,  Upper Ridge,  Upper Ridge Road,  Ridge,  Ridge Road",28.6419258,77.2217499,7
20,80,546868453609865216,5.47E+17,https://twitter.com/dtptraffic/status/546868453609865216,en,False,Traffic Alert Ashoka Road has been closed partially for heavy vehicles. Kindly avoid this route. Inconvenience regretted.,Ashoka Road has been closed partially for heavy vehicles. Kindly avoid this route. Inconvenience regretted.,Ashoka Road has been closed partially for heavy vehicles. Kindly avoid this route. Inconvenience regretted.,BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,automated_screen,,,[],"[""Ashoka Road""]","[""Ashoka Road""]",,,,"Ashoka Road, Connaught Place, New Delhi, Delhi, 110001, India","Ashoka,  Ashoka Road",28.6202941,77.2180619,9
21,81,546866440666906624,5.47E+17,https://twitter.com/dtptraffic/status/546866440666906624,en,False,Traffic Alert Sansad Marg has been closed due to rally. Kindly avoid this route. Inconvenience regretted.,Sansad Marg has been closed due to rally. Inconvenience regretted.,Sansad Marg has been closed due to rally. Inconvenience regretted.,BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,benign,Inspected: spelling/alias expansion or nonspatial wording; spatial identity appears unchanged.,,[],"[""Sansad Marg""]","[""Sansad Marg""]",,,,"Sansad Bhavan, Lok Sabha Marg, Raisina Hill, New Delhi, Delhi, 110004, India","Sansad,  Sansad Marg,  Marg",28.6171875,77.2078082,9
22,90,546335344917221376,5.46E+17,https://twitter.com/dtptraffic/status/546335344917221376,en,False,Traffic Alert Now traffic is normal on Patel Road.,Now traffic is normal on Patel Road.,Now traffic is normal on Patel Road.,BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,automated_screen,,,[],"[""Patel Road""]","[""Patel Road""]",,,,"West Patel Nagar, West Delhi, Delhi, India","Patel,  Patel Road",28.6519279,77.162923,7
23,94,546257118899503104,5.46E+17,https://twitter.com/dtptraffic/status/546257118899503104,en,False,Traffic Alert Traffic heavy on Patel Road due to traffic congestion on Ring Road. Inconvenience Regretted.,Traffic heavy on Patel Road due to traffic congestion on Ring Road. Inconvenience Regretted.,Traffic heavy on Patel Road due to traffic congestion on Ring Road. Inconvenience Regretted.,BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,automated_screen,,,[],"[""Patel Road"", ""Ring Road""]","[""Patel Road"", ""Ring Road""]",,,,"West Patel Nagar, West Delhi, Delhi, India","Patel,  Patel Road",28.6519279,77.162923,7
24,107,545847621718274048,5.46E+17,https://twitter.com/dtptraffic/status/545847621718274048,en,False,"Traffic Alert Sansad Marg has been closed. Due to this, traffic will remain heavy on Ashoka Road. Inconvenience regretted.","Sansad Marg has been closed. Due to this, traffic will remain heavy on Ashoka Road. Inconvenience regretted.","Sansad Marg has been closed. Due to this, traffic will remain heavy on Ashoka Road. Inconvenience regretted.",BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,automated_screen,,,[],"[""Sansad Marg"", ""Ashoka Road""]","[""Sansad Marg"", ""Ashoka Road""]",,,,"Sansad Bhavan, Lok Sabha Marg, Raisina Hill, New Delhi, Delhi, 110004, India","Sansad,  Sansad Marg,  Marg,  Ashoka,  Ashoka Road",28.6171875,77.2078082,9
25,115,545547646920699904,5.46E+17,https://twitter.com/dtptraffic/status/545547646920699904,en,False,Traffic Alert Traffic is heavy form Inderlok to Shastri Nagar.,Traffic is heavy form Inderlok to Shastri Nagar.,Traffic is heavy form Inderlok to Shastri Nagar.,BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,automated_screen,,,[],"[""Inderlok"", ""Shastri Nagar""]","[""Inderlok"", ""Shastri Nagar""]",,,,"Inderlok, North West Delhi, Delhi, India","Inderlok,  Shastri,  Shastri Nagar",28.67276855,77.16568971,9
26,118,545509013358915584,5.46E+17,https://twitter.com/dtptraffic/status/545509013358915584,en,False,Traffic Alert Sansad Marg has been closed by Local Police due to procession. Inconvenience regretted.,Sansad Marg has been closed by Local Police due to procession. Inconvenience regretted.,Sansad Marg has been closed by Local Police due to procession. Inconvenience regretted.,BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,automated_screen,,,[],"[""Sansad Marg""]","[""Sansad Marg""]",,,,"Sansad Bhavan, Lok Sabha Marg, Raisina Hill, New Delhi, Delhi, 110004, India","Sansad,  Sansad Marg,  Marg,  Local,  Police",28.6171875,77.2078082,9
27,122,545476422815346688,5.45E+17,https://twitter.com/dtptraffic/status/545476422815346688,en,False,Traffic Alert Breakdown DTC Bus No. DL 1PC 2138 has been removed from the place near Mayapuri flyover. Traffic will be normalized soon.,Breakdown DTC Bus No. DL 1PC 2138 has been removed from the place near Mayapuri flyover. Traffic will be normalized soon.,Breakdown DTC Bus No. DL 1PC 2138 has been removed from the place near Mayapuri flyover. Traffic will be normalized soon.,BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,automated_screen,,,[],"[""Mayapuri"", ""flyover""]","[""Mayapuri"", ""flyover""]",,,,"DTC Colony, Delhi, Central Delhi, Delhi, India","DTC,  DTC Bus,  Bus,  Bus No,  No,  Mayapuri",28.69021215,77.19308426,9
28,123,545470322959335425,5.45E+17,https://twitter.com/dtptraffic/status/545470322959335425,en,False,Traffic Alert Traffic is heavy in the carriageway running from Modi Mill towards Kalkaji. Kindly avoid this route. Inconvenience regretted.,Traffic is heavy in the carriageway running from Modi Mill towards Kalkaji. Kindly avoid this route. Inconvenience regretted.,Traffic is heavy in the carriageway running from Modi Mill towards Kalkaji. Kindly avoid this route. Inconvenience regretted.,BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,automated_screen,,,[],"[""Modi Mill"", ""Kalkaji""]","[""Modi Mill"", ""Kalkaji""]",,,,"Kalkaji, South East Delhi, Delhi, 110019, India","Modi,  Modi Mill,  Mill,  Kalkaji",28.5370703,77.2618051,7
29,132,545058764509167616,5.45E+17,https://twitter.com/dtptraffic/status/545058764509167616,en,False,Traffic Alert Breakdown DTC Bus No. DL 1PC 7605 has been removed from the place Minto Road Outer Circle.,Breakdown DTC Bus No. DL 1PC 7605 has been removed from the place Minto Road Outer Circle.,Breakdown DTC Bus No. DL 1PC 7605 has been removed from the place Minto Road Outer Circle.,BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,automated_screen,,,[],"[""Minto Road"", ""Outer Circle""]","[""Minto Road"", ""Outer Circle""]",,,,"DTC Colony, Delhi, Central Delhi, Delhi, India","DTC,  DTC Bus,  Bus,  Bus No,  No,  Minto,  Minto Road,  Road Outer,  Road Outer Circle,  Outer,  Outer Circle,  Circle",28.69021215,77.19308426,9
30,135,545058030606639104,5.45E+17,https://twitter.com/dtptraffic/status/545058030606639104,en,False,Traffic Alert Breakdown DTC Bus No. DL 1PC 6587 has been removed from the carriageway Uttam Nagar towards Delhi Cantt.,Breakdown DTC Bus No. DL 1PC 6587 has been removed from the carriageway Uttam Nagar towards Delhi Cantonment.,Breakdown DTC Bus No. DL 1PC 6587 has been removed from the carriageway Uttam Nagar towards Delhi Cantonment.,BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,benign,Delhi Cantt expanded to Delhi Cantonment.,ALIAS_EXPANSION,[],"[""Uttam Nagar"", ""Delhi""]","[""Uttam Nagar"", ""Delhi Cantonment""]",,,,"DTC Colony, Delhi, Central Delhi, Delhi, India","DTC,  DTC Bus,  Bus,  Bus No,  No,  Uttam,  Uttam Nagar,  Delhi,  Delhi Cantt,  Cantt",28.69021215,77.19308426,9
31,137,544876520309678080,5.45E+17,https://twitter.com/dtptraffic/status/544876520309678080,hi,True,"Traffic Alert DTC बस DL1PC 7605 मिन्टो रोड आउटर सर्किल पर ख़राब है, जिससे मिन्टो रोड आउटर सर्किल पर यातायात ज्यादा है I","DTC Bus DL1PC 7605 Minto Road is bad on Outer Circle, which has more traffic on the Minto Road Outer Circle.","DTC Bus DL1PC 7605 Minto Road is bad on Outer Circle, which has more traffic on the Minto Road Outer Circle.",UNRESOLVED_CROSS_LANGUAGE,False,False,False,False,True,automated_screen,,,"[{""canonical"": ""Outer Circle"", ""surface"": ""आउटर सर्किल""}, {""canonical"": ""Outer Circle"", ""surface"": ""आउटर सर्किल""}]",[],"[""Minto Road"", ""Outer Circle"", ""Minto Road"", ""Outer Circle""]",,,,"DTC Colony, Delhi, Central Delhi, Delhi, India","DTC,  DTC Bus,  Bus,  Minto,  Minto Road,  Outer,  Outer Circle,  Circle,  Minto,  Minto Road,  Road Outer,  Road Outer Circle,  Outer,  Outer Circle,  Circle",28.69021215,77.19308426,9
32,140,544875651925164033,5.45E+17,https://twitter.com/dtptraffic/status/544875651925164033,hi,True,"Traffic Alert आश्रम चौक पर दिल्ली मेट्रो का काम चल रहा है, जिसके कारण 2 घंटे तक आश्रम चौक पर यातायात ज्यादा रहेगा I","The work of the Delhi Metro on Ashram Chowk is underway, which will increase the traffic to Ashram Chowk for 2 hours.","The work of the Delhi Metro on Ashram Chowk is underway, which will increase the traffic to Ashram Chowk for 2 hours.",UNRESOLVED_CROSS_LANGUAGE,False,False,False,False,True,automated_screen,,,"[{""canonical"": ""Ashram"", ""surface"": ""आश्रम""}, {""canonical"": ""Ashram"", ""surface"": ""आश्रम""}]",[],"[""Delhi Metro"", ""Ashram"", ""Ashram""]",,,,"Ashram, South East Delhi, Delhi, India","Delhi,  Delhi Metro,  Metro,  Ashram,  Ashram Chowk,  Chowk,  Ashram,  Ashram Chowk,  Chowk",28.57517675,77.25693154,9
33,142,544835240955744256,5.45E+17,https://twitter.com/dtptraffic/status/544835240955744256,en,False,Traffic Alert Breakdown DTC Bus No.DL1PC 3257 has been removed from Ram Manohar Lohia Hospital.,Breakdown DTC Bus No.DL1PC 3257 has been removed from Ram Manohar Lohia Hospital.,Breakdown DTC Bus No.DL1PC 3257 has been removed from Ram Manohar Lohia Hospital.,BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,automated_screen,,,[],"[""Ram Manohar Lohia Hospital""]","[""Ram Manohar Lohia Hospital""]",,,,"DTC Colony, Delhi, Central Delhi, Delhi, India","DTC,  DTC Bus,  Bus,  Ram,  Ram Manohar,  Ram Manohar Lohia,  Manohar,  Manohar Lohia,  Manohar Lohia Hospital,  Lohia,  Lohia Hospital,  Hospital",28.69021215,77.19308426,9
34,147,544830064395694081,5.45E+17,https://twitter.com/dtptraffic/status/544830064395694081,en,False,Traffic Alert Breakdown DTC Bus has been removed from Safdarjang Hospital.,Breakdown DTC Bus has been removed from Safdarjang Hospital.,Breakdown DTC Bus has been removed from Safdarjang Hospital.,BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,automated_screen,,,[],[],[],,,,"DTC Colony, Delhi, Central Delhi, Delhi, India","DTC,  DTC Bus,  Bus,  Safdarjang,  Safdarjang Hospital,  Hospital",28.69021215,77.19308426,9
35,149,544738659027537920,5.45E+17,https://twitter.com/dtptraffic/status/544738659027537920,hi,True,Traffic Alert आज़ाद मार्केट से ईदगाह की तरफ कल जो पानी भरा हुआ था वह निकल गया है |,"Azad Market, which was filled with water on Idgah side has left.","Azad Market, which was filled with water on Idgah side has left.",POSSIBLE_SPATIAL_RELATION_CHANGE,True,False,True,False,True,possible,From Azad Market towards Idgah becomes an unbound Idgah side expression.,ORIGIN_RELATION_LOSS,"[{""canonical"": ""Azad Market"", ""surface"": ""आजाद मार्केट""}]",[],"[""Azad Market"", ""Idgah""]",,,EXPLICIT_FROM_NOT_PRESERVED,"Azad Nagar, Shahdara, Delhi, India","Azad,  Azad Market,  Market,  Idgah",28.66268205,77.27951461,7
36,156,544172095253798913,5.44E+17,https://twitter.com/dtptraffic/status/544172095253798913,en,False,Traffic Alert Now traffic is normal from Nehru Place towards Chirag Delhi.,Now traffic is normal from Nehru Place towards Chirag Delhi.,Now traffic is normal from Nehru Place towards Chirag Delhi.,BENIGN_TEXTUAL_DIFFERENCE,False,False,False,False,False,automated_screen,,,[],"[""Nehru Place"", ""Chirag Delhi""]","[""Nehru Place"", ""Chirag Delhi""]",,,,"Jawaharlal Nehru Stadium, Bhishma Pitamah Marg, Lodhi Colony, South East Delhi, Delhi, 110003, India","Nehru,  Nehru Place,  Chirag,  Chirag Delhi,  Delhi",28.58337705,77.2335404,7
