dataset_record_id,tweet_id,system,model,model_version_or_revision,generated_translation,generation_status,generation_timestamp,run_id,input_sha256,record_input_sha256,output_sha256,attempted,runtime_seconds,error_code,metadata_json
record:42e8437f7c5e14ab1431e9fa46122acd7ac3bea5d254ae4995ded4daf6957355,1070623402757517312,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,Traffic Alert Traffic is affected due to the leakage of a sewer pipeline in the route from Akbar Road roundabout towards India Gate.,SUCCESS,2026-09-12T15:31:58.647219+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,89cc2757565d9d8286d1e2393e795e6b2d8b59de70319c57d7aec13d93507ece,353ac83dba7eaf0932b28378f5daaa6b9c7dcf3355a4cb3f52ec9484cb27d947,True,6.258477,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:01171e96f8b011732b64baffa12845aeba3410e2f9262e4412893bbf601759f2,912642447083134977,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,Traffic Alert The route from CR Park to GK-2 is high traffic due to Durga Puja. Please avoid using this route.,SUCCESS,2026-09-12T15:32:04.906048+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,d5e6c613d9f637d179c514213832a52154d22745aa24858a5bf9a223d56fffcf,0c3c32ad2653c701eb9fe987b7e7550edba6eadd38d5d4589979191c9afe2890,True,6.076752,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:f903881a98dc1fc818e98ad0ae597a0d6275dc9cdd6c843c98b36f8ec9cae2fb,997118644034330624,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,Traffic Alert: The road from Kalindi Kunj to Noida has been closed due to a fallen tree in Noida. Motorists are advised to take the route via DND.,SUCCESS,2026-09-12T15:32:10.981370+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,f1c40c8d8bee765669c06b3eda9f60e56bbd0ed1007a5a741a6b42a9b9fc908c,456a1017e6e3338ad0dac6b66e978f47307394139775fd09607eb1783037296a,True,42.879596,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:0a50c6e802bd86144666643b18440cbb7cc5ba7e4bc4d4da542c52cd45cf87a8,866469775924281344,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,Traffic Alert A tree has fallen on the road leading to Badarpur border from Ali village red light causing heavy traffic.,SUCCESS,2026-09-12T15:32:53.862007+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,5b1a28058cda5c9e95731df9b467b270af08914b9267b1b7c7a9994f88992362,539947730b404113b4b7627419c227bd79d5a1393f712e003e9634977fa25de6,True,27.204835,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:a6a9dc7afac0ce3e6beda1784acd11309187d990d67daa05ac55608010462523,1083980478376484864,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,Traffic Alert: Parliament Street (Patel Chowk to NDMC) has been closed for traffic due to the sit-in protest.,SUCCESS,2026-09-12T15:33:21.069829+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,f3a993c231520c9fb596b9821c63dd9ef629d2e051b0ed541b5d01054e7007d3,af5789c0d1932b0f89309ae8023dd689a2f728f2a2c1a2e3b5dc1d5f291950d3,True,25.610187,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:1fe19da70e890b07fd75005ca5fd641c0000fa550cfdefcd51d09130d70db61f,1097771097628372992,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,Traffic Alert Ravidas Jayanti procession which started from Lahori Gate has reached Hamdard Chowk Asaf Ali Road.,SUCCESS,2026-09-12T15:33:46.682049+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,dd5ebed7ac9379f83fd68d40992c04da58d9c51f6ff0fe6d69855c94c1e7278f,cbbb2458ccb819cbe60d5a5557e7333ed30a7b461b56495139a558ed091f79ff,True,8.606133,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:894f97e45953e40c0f8b2caf119624269ea00f9ec13ac66cbce7266b23516635,1091352590133198850,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,Traffic Alert Delhi Jal Board is laying a new pipeline near Ranhola village on Najafgarh road due to which traffic is affected.,SUCCESS,2026-09-12T15:33:55.289161+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,05331b3f1208bf28c3bfd4896be8d6ce4cf95189b86394b8338c87c89a5f4f67,5ebe8d0738c49995734ac1122bd01d653d30917c301c7985e92bdee5bae96835,True,7.649952,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:6ce8d3e344e064788d0ad112dc6d7db3c14be7678984f9aea2406d891b6c8fea,863981063386705920,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,"Traffic Alert Disuse Canal Road, Gagan Vihar to M.B.Pusta Road for cleaning of PWD canal leading to SDM office to Khureji Chowk 1 / 2",SUCCESS,2026-09-12T15:34:02.939724+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,830760be24617537baf9a9fc4d662a05b1424ee457e03177f3fc2cfaf65ff01f,aae910fbbb1d589bff25e1367eef6680426662f86ee36601a3974e9cc34676dd,True,7.822324,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:3dbc9bb6c08016a9da9b7451e9294045856d58eb2969ce55d12d40a0ca82b75f,1024156961955184640,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,"Traffic Alert आर.के. On Panchkuinya Road near Ashram Marg Metro Station, going towards Connaught Place, there is a 15-20 pothole in the road due to which traffic is affected.",SUCCESS,2026-09-12T15:34:10.761938+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,ed80d67ddfdcc606591adef33cc8811ff22486d1027cb7c0e7ea191be981f660,8324603939454581a949b905a811439e0a4b9adf4a6ce0daf175c66f62835ce5,True,48.066506,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
record:0d861ff5cb921080fc74354e17558cf6ed9905508ff0758342439836dfcd5211,1013039835500535808,indictrans2,ai4bharat/indictrans2-indic-en-1B,ai4bharat/indictrans2-indic-en-1B,"Traffic Alert: Road has caved in at Ram Dev Chowk in Narela, due to which traffic is disrupted.",SUCCESS,2026-09-12T15:34:58.826385+00:00,20260912_blind_v5,8d8f5fcab9e03c6a1dfc90d5a2bfc7a3f92959df7f202b8e9bd65a169f2d9337,00df4cb96c8d94e9ed7b86476c779c481827760b7628874d7999f186e8b121f6,6d71fa5c186e48eecc8d8084cb1fb2cc943afb28c527fbabdd800bc8642b3e93,True,30.423608,,"{""actual_model"":""ai4bharat/indictrans2-indic-en-1B"",""decoding"":""beam search, no sampling; reproducibility limited to pinned environment/hardware"",""device"":""cpu"",""revision"":""ac3daf0ecd37be3b6957764a9179ab2b07fa9d6a"",""seed"":20260912,""torch_version"":""2.14.0+cpu""}"
