dataset_record_id,tweet_id,selection_families,original_hindi,legacy_translation,indictrans2_candidate,google_candidate,openai_candidate,ollama_candidate,indictrans2_generation_status,google_generation_status,openai_generation_status,ollama_generation_status,audit_note,validation_assessment
record:02f6a69f3714c2ec41b69b760691e1d937446bd26a14077a00b2fb97daa5bce7,634055024218349568,feature_type,Traffic Alert रानी झाँसी रोड पर यातायात अब सामान्य है |,Rani Jhansi road traffic is now normal.,Traffic Alert Traffic on Rani Jhansi Road is normal now.,,,,SUCCESS,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,Rani Jhansi Road traffic normal preserves place despite omitting on.,INDEPENDENT_REVIEW_REQUIRED
record:0413e9a4c0cf7592e18ee298db28dc47b2bc04c77c44f6ca14dbf272ca30a9dc,548787346703802369,feature_type,"Traffic Alert मेट्रो का काम चलने के कारण श्यामलाल कॉलेज से बिहारी कालोनी (रोड नंबर 57) तक यातायात ज्यादा रहेगा, असुविधा के लिए खेद है|","Due to the work of Metro, traffic from Shyamlal College to Bihari Colony (Road No 57) will be high, sorry for the inconvenience.","Traffic Alert Due to Metro work, there will be more traffic from Shyamlal College to Bihari Colony (Road No. 57), sorry for the inconvenience.",,,,SUCCESS,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,"Shyamlal College to Bihari Colony, Road 57 retained.",INDEPENDENT_REVIEW_REQUIRED
record:b967c0c8612863d6404bdbf225a7d2a2e763aca057c428f5056df64133704684,884757864719368193,time_numeric,Part1/2..Traffic Alert RTR मार्ग पर PWD का काम चल रहा है इसलिए शाम 5 बजे से शाम 8 बजे तक बड़े वाहनों और बसों को सेक्टर-8 और,"PWD work is going on part1 / 2.RTR route, hence large vehicles and buses from Sector 8 and 5","PART 1 / 2.. Traffic Alert: PWD work is going on on RTR route, so from 5 pm to 8 pm, big vehicles and buses will not be allowed to enter Sector-8.",,,,SUCCESS,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,"5 pm to 8 pm becomes vehicles from Sector 8 and 5, blending time and place.",INDEPENDENT_REVIEW_REQUIRED
record:c5b61c7b0e98b62499ced37320a87a846748dfb3cfe99ac4036381664446bf81,987307197980819460,route_status,Traffic Alert महारानी बाग़ से सराय काले खान जाने वाले मार्ग को पानी की पाइपलाइन फट जाने के कारण बंद किया गया था अब खोल दिया गया है I,"From the Maharani Bagh to the Sarai Kala Khan route, the water pipeline was closed because it was now closed.",Traffic Alert The route from Maharani Bagh to Sarai Kale Khan was closed due to a burst water pipeline has now been opened.,,,,SUCCESS,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,Maharani Bagh to Sarai Kale Khan now reopened becomes now closed.,INDEPENDENT_REVIEW_REQUIRED
record:0bf3a7736a780481db66a03f35e3a65e98eedab97acc2ad3513b59ba146ef1af,613315135952842752,coverage_fill,"Traffic Alert महारानी बाग से आश्रम जाने वाले मार्ग में डीटीसी बस नंबर DL 1PC 1114 ख़राब हैं,यातायात ज्यादा हैं| असुविधा के लिए खेद है|","DTC bus number DL 1PC 1114 is bad in the route going to the Maharani Bagh Ashram, the traffic is much more. Sorry for the inconvenience.","Traffic Alert DTC bus number DL 1PC 1114 B\ u093C is on the way from Maharani Bagh to Ashram, traffic is heavy. Sorry for the inconvenience.",,,,SUCCESS,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,Maharani Bagh to Ashram becomes Maharani Bagh Ashram.,INDEPENDENT_REVIEW_REQUIRED
record:0d939a44689b6af1523b7709e14b49dcd330f6b480a6c4fa9754a3c324e01515,590811969600495617,coverage_fill,Traffic Alert जसोला रोड से साइन बाग रोड न. 13 के दोनों मार्गों पर यातायात अब सामान्य है |,"From Sas Bagh Road, Noon to Jasola Road Traffic on both routes of 13 is now normal.",Traffic Alert Traffic is now normal on both carriageways of Jasola Road to Sain Bagh Road No. 13.,,,,SUCCESS,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,Jasola Road from-origin and Sain Bagh destination reverse; Bagh name garbled.,INDEPENDENT_REVIEW_REQUIRED
record:14baa78ac3f1c1b74c9115dd863432f03395e9691b60e0520a80caaf83f7eba0,864089977109401601,coverage_fill,Traffic Alert जसवंत सिंह गोल चक्कर से विंडसर प्लेस की तरफ जाने वाले मार्ग में BJP Office के सामने एक पेड़ गिर गया है जिससे यातायात बाधित है|,"Jaswant Singh From the round-trip, towards the direction of Windsor Place, a tree has fallen in front of the BJP office, which is interrupted by traffic.","Traffic Alert A tree has fallen in front of the BJP office on the road leading to Windsor Place from Jaswant Singh roundabout, disrupting traffic.",,,,SUCCESS,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,Jaswant Singh roundabout becomes round-trip.,INDEPENDENT_REVIEW_REQUIRED
record:1ac46b4b33a0100d987220d80f38e95694c6165e6b229094e335a0385831922b,565832116580392960,coverage_fill,"Traffic Alert पीरागढ़ी चौक से मधुबन चौक यातायात सामान्य है, सभी डायवर्सन हटा दिया गया है I","Peabagari Chowk is the normal Madhuban Chowk traffic, all Diverans have been removed.","Traffic Alert Peeragarh\ u093Chi Chowk to Madhuban Chowk Traffic is normal, all diversions have been removed.",,,,SUCCESS,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,Peeragarhi to Madhuban Chowk becomes Peabagari ... Madhuban Chowk without from/to.,INDEPENDENT_REVIEW_REQUIRED
record:21420511a450f36ce3f470f2682dcc43a2b74fabf64a60c2a4989153774359f3,547730864256589826,coverage_fill,Traffic Alert पटेल चौक से जी. पी. ओ. (अशोक रोड़) की तरफ जाने वाला मार्ग यातायात के लिए सामान्य है|,Got from Patel Chowk P.O. The road going towards Ashoka Road is normal for traffic.,Traffic Alert The route from Patel Chowk towards GPO (Ashok Road\ u093C) is normal for traffic.,,,,SUCCESS,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,GPO fragmented to Got/P.O.; Ashoka Road relation restructured.,INDEPENDENT_REVIEW_REQUIRED
record:234e5f621a73ad7ba9884b4ff0af3730cdab29fb34105bc5a3203a85a7750659,623865786541719552,coverage_fill,Traffic Alert MB रोड (खानपुर से लाडो सराय सैनिक फार्म हाउस गेट नंबर 1) पर कुछ लोग धरना प्रदर्शन कर सकतें है|,Some people can perform dharna on MB Road (Khanpur from Lado Sarai Sarkari Farm House Gate No. 1).,Traffic Alert Some people may stage a sit-in on MB Road (Khanpur to Lado Sarai Sainik Farm House Gate No. 1).,,,,SUCCESS,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,BLOCKED_NOT_ATTEMPTED,Sainik Farm becomes Sarkari Farm; Khanpur from-origin attachment changes.,INDEPENDENT_REVIEW_REQUIRED
